epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,98,,,0.898809552192688,0.3619387745857239
0,,98,0.8191666603088379,0.7879093885421753,,
,0.001,99,,,,
1,,197,,,0.9159523844718933,0.2924877107143402
1,,197,0.9091269969940186,0.31756722927093506,,
,0.001,198,,,,
2,,296,,,0.9266666769981384,0.254122257232666
2,,296,0.928174614906311,0.2586171627044678,,
,0.001,297,,,,
3,,395,,,0.9317857027053833,0.23470726609230042
3,,395,0.9379364848136902,0.21999314427375793,,
,0.001,396,,,,
4,,494,,,0.9413095116615295,0.20566165447235107
4,,494,0.9462698698043823,0.19091951847076416,,
,0.001,495,,,,
5,,593,,,0.9473809599876404,0.18766842782497406
5,,593,0.9526984095573425,0.1651461124420166,,
,0.001,594,,,,
6,,692,,,0.9504761695861816,0.17354929447174072
6,,692,0.9590476155281067,0.14589926600456238,,
,0.001,693,,,,
7,,791,,,0.9526190757751465,0.16745278239250183
7,,791,0.9631349444389343,0.12988722324371338,,
,0.001,792,,,,
8,,890,,,0.9536904692649841,0.15732930600643158
8,,890,0.9670634865760803,0.11507710814476013,,
,0.001,891,,,,
9,,989,,,0.9577381014823914,0.1482185572385788
9,,989,0.9709126949310303,0.10463158786296844,,
,0.001,990,,,,
10,,1088,,,0.960357129573822,0.1398986428976059
10,,1088,0.9739682674407959,0.09364590048789978,,
,0.001,1089,,,,
11,,1187,,,0.9594047665596008,0.13733172416687012
11,,1187,0.977142870426178,0.08493927121162415,,
,0.001,1188,,,,
12,,1286,,,0.9598809480667114,0.13556791841983795
12,,1286,0.9793254137039185,0.07613102346658707,,
,0.001,1287,,,,
13,,1385,,,0.9608333110809326,0.13325762748718262
13,,1385,0.9824206233024597,0.06960535794496536,,
,0.001,1386,,,,
